area,day,label
강릉,2022-11-04,13
강릉,2022-11-05,13
강릉,2022-11-06,2
강릉,2022-11-07,2
강릉,2022-11-08,2
강릉,2022-11-09,2
강릉,2022-11-10,2
강릉,2022-11-11,2
강릉,2022-11-12,6
강릉,2022-11-13,2
강릉,2022-11-14,2
강릉,2022-11-15,13
강릉,2022-11-16,2
강릉,2022-11-17,2
강릉,2022-11-18,2
강릉,2022-11-19,2
강릉,2022-11-20,2
강릉,2022-11-21,2
강릉,2022-11-22,2
강릉,2022-11-23,2
강릉,2022-11-24,13
강릉,2022-11-25,2
강릉,2022-11-26,2
강릉,2022-11-27,13
강릉,2022-11-28,13
강릉,2022-11-29,13
강릉,2022-11-30,9
강릉,2022-12-01,9
강릉,2022-12-02,9
강릉,2022-12-03,15
강릉,2022-12-04,15
강릉,2022-12-05,15
강릉,2022-12-06,15
강릉,2022-12-07,1
강릉,2022-12-08,1
강릉,2022-12-09,1
강릉,2022-12-10,15
강릉,2022-12-11,15
강릉,2022-12-12,1
강릉,2022-12-13,15
강릉,2022-12-14,12
강릉,2022-12-15,9
강릉,2022-12-16,9
강릉,2022-12-17,12
강릉,2022-12-18,12
강릉,2022-12-19,12
강릉,2022-12-20,9
강릉,2022-12-21,15
강릉,2022-12-22,12
강릉,2022-12-23,12
강릉,2022-12-24,9
강릉,2022-12-25,9
강릉,2022-12-26,9
강릉,2022-12-27,15
강릉,2022-12-28,9
강릉,2022-12-29,9
강릉,2022-12-30,15
강릉,2022-12-31,9
강릉,2023-01-01,15
강릉,2023-01-02,9
강릉,2023-01-03,9
강릉,2023-01-04,15
강릉,2023-01-05,15
강릉,2023-01-06,15
강릉,2023-01-07,15
강릉,2023-01-08,15
강릉,2023-01-09,1
강릉,2023-01-10,1
강릉,2023-01-11,1
강릉,2023-01-12,1
강릉,2023-01-13,1
강릉,2023-01-14,15
강릉,2023-01-15,15
강릉,2023-01-16,9
강릉,2023-01-17,9
강릉,2023-01-18,9
강릉,2023-01-19,9
강릉,2023-01-20,9
강릉,2023-01-21,9
강릉,2023-01-22,15
강릉,2023-01-23,15
강릉,2023-01-24,12
강릉,2023-01-25,12
강릉,2023-01-26,9
강릉,2023-01-27,12
강릉,2023-01-28,12
강릉,2023-01-29,9
강릉,2023-01-30,15
강릉,2023-01-31,15
강릉,2023-02-01,5
강릉,2023-02-02,3
강릉,2023-02-03,3
강릉,2023-02-04,3
강릉,2023-02-05,5
강릉,2023-02-06,5
강릉,2023-02-07,3
강릉,2023-02-08,3
강릉,2023-02-09,3
강릉,2023-02-10,3
강릉,2023-02-11,5
강릉,2023-02-12,5
강릉,2023-02-13,5
강릉,2023-02-14,3
강릉,2023-02-15,3
강릉,2023-02-16,5
강릉,2023-02-17,5
강릉,2023-02-18,14
강릉,2023-02-19,5
강릉,2023-02-20,3
강릉,2023-02-21,3
강릉,2023-02-22,5
강릉,2023-02-23,14
강릉,2023-02-24,5
강릉,2023-02-25,3
강릉,2023-02-26,5
강릉,2023-02-27,14
강릉,2023-02-28,14
강릉,2023-03-01,14
강릉,2023-03-02,5
강릉,2023-03-03,14
강릉,2023-03-04,14
강릉,2023-03-05,14
강릉,2023-03-06,4
강릉,2023-03-07,11
강릉,2023-03-08,4
강릉,2023-03-09,14
강릉,2023-03-10,4
강릉,2023-03-11,14
강릉,2023-03-12,14
강릉,2023-03-13,5
강릉,2023-03-14,14
강릉,2023-03-15,4
강릉,2023-03-16,5
강릉,2023-03-17,5
강릉,2023-03-18,14
강릉,2023-03-19,14
강릉,2023-03-20,4
강릉,2023-03-21,4
강릉,2023-03-22,4
강릉,2023-03-23,14
강릉,2023-03-24,14
강릉,2023-03-25,14
강릉,2023-03-26,5
강릉,2023-03-27,14
강릉,2023-03-28,14
강릉,2023-03-29,4
강릉,2023-03-30,11
강릉,2023-03-31,4
강릉,2023-04-01,4
강릉,2023-04-02,4
강릉,2023-04-03,4
강릉,2023-04-04,4
강릉,2023-04-05,4
강릉,2023-04-06,4
강릉,2023-04-07,4
강릉,2023-04-08,14
강릉,2023-04-09,4
강릉,2023-04-10,11
강릉,2023-04-11,11
강릉,2023-04-12,4
강릉,2023-04-13,4
강릉,2023-04-14,4
강릉,2023-04-15,14
강릉,2023-04-16,14
강릉,2023-04-17,4
강릉,2023-04-18,4
강릉,2023-04-19,4
강릉,2023-04-20,11
강릉,2023-04-21,4
강릉,2023-04-22,14
강릉,2023-04-23,4
강릉,2023-04-24,4
강릉,2023-04-25,14
강릉,2023-04-26,14
강릉,2023-04-27,4
강릉,2023-04-28,11
강릉,2023-04-29,4
강릉,2023-04-30,4
강릉,2023-05-01,4
강릉,2023-05-02,11
강릉,2023-05-03,11
강릉,2023-05-04,11
강릉,2023-05-05,4
강릉,2023-05-06,14
강릉,2023-05-07,14
강릉,2023-05-08,4
강릉,2023-05-09,11
강릉,2023-05-10,11
강릉,2023-05-11,11
강릉,2023-05-12,11
강릉,2023-05-13,11
강릉,2023-05-14,11
강릉,2023-05-15,11
강릉,2023-05-16,0
강릉,2023-05-17,0
강릉,2023-05-18,11
강릉,2023-05-19,4
강릉,2023-05-20,11
강릉,2023-05-21,11
강릉,2023-05-22,11
강릉,2023-05-23,11
강릉,2023-05-24,11
강릉,2023-05-25,11
강릉,2023-05-26,11
강릉,2023-05-27,11
강릉,2023-05-28,11
강릉,2023-05-29,11
강릉,2023-05-30,11
강릉,2023-05-31,11
강릉,2023-06-01,7
강릉,2023-06-02,7
강릉,2023-06-03,7
강릉,2023-06-04,0
강릉,2023-06-05,0
강릉,2023-06-06,0
강릉,2023-06-07,0
강릉,2023-06-08,0
강릉,2023-06-09,7
강릉,2023-06-10,7
강릉,2023-06-11,7
강릉,2023-06-12,7
강릉,2023-06-13,7
서울,2022-06-15,7
서울,2022-06-16,7
서울,2022-06-17,7
서울,2022-06-18,7
서울,2022-06-19,7
서울,2022-06-20,0
서울,2022-06-21,0
서울,2022-06-22,0
서울,2022-06-23,7
서울,2022-06-24,7
서울,2022-06-25,0
서울,2022-06-26,0
서울,2022-06-27,0
