                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.87756,                  1.889,                 1.1917,                 1.1384,                0.79824,                0.79578,                0.85228,                0.66952,                0.79484,                0.79211,                0.84451,                0.60333,                0.75414,                 1.6351,                0.75511,                  1.126,                0.00505,                0.00505,                0.00505
                     52,                 0.8687,                 1.8778,                 1.1846,                 1.1344,                0.77357,                0.80922,                0.84895,                0.66567,                0.77078,                0.80346,                0.84026,                0.60243,                0.75652,                 1.6393,                0.76262,                 1.1281,               0.004951,               0.004951,               0.004951
                     53,                 0.8607,                 1.8589,                  1.178,                 1.1278,                0.78522,                0.79868,                0.84978,                0.66537,                0.78216,                0.79586,                0.84137,                0.60288,                0.75528,                  1.628,                0.75099,                 1.1275,               0.004852,               0.004852,               0.004852
                     54,                0.86346,                 1.8546,                 1.1711,                 1.1291,                0.79315,                0.79951,                0.85364,                0.67065,                 0.7905,                0.79413,                0.84484,                0.60603,                0.75222,                 1.6288,                0.74448,                 1.1252,               0.004753,               0.004753,               0.004753
                     55,                0.86665,                 1.8777,                 1.1589,                 1.1321,                0.79925,                0.79562,                0.85565,                0.67329,                0.79589,                0.79117,                0.84697,                 0.6085,                0.75283,                 1.6207,                0.73103,                 1.1267,               0.004654,               0.004654,               0.004654
                     56,                0.85939,                 1.8753,                 1.1686,                   1.13,                0.79074,                0.80517,                0.85769,                0.67304,                0.78605,                0.80176,                0.84758,                0.60688,                0.75356,                  1.621,                0.73548,                 1.1239,               0.004555,               0.004555,               0.004555
                     57,                0.86008,                 1.8415,                 1.1566,                 1.1299,                0.79515,                0.80257,                0.85892,                0.67709,                0.79157,                  0.798,                0.84835,                0.61128,                0.74839,                 1.6113,                0.72582,                 1.1209,               0.004456,               0.004456,               0.004456
                     58,                0.85138,                 1.8406,                 1.1615,                 1.1218,                0.78646,                0.81358,                0.85728,                0.67651,                0.78589,                0.80679,                0.84972,                0.61268,                0.74787,                 1.6106,                0.72514,                 1.1218,               0.004357,               0.004357,               0.004357
                     59,                0.85475,                 1.8382,                 1.1599,                 1.1252,                0.79368,                0.80202,                0.85903,                 0.6776,                0.79261,                0.79797,                 0.8514,                 0.6121,                0.74736,                 1.6116,                0.72281,                 1.1192,               0.004258,               0.004258,               0.004258
                     60,                0.84544,                 1.8404,                 1.1434,                 1.1216,                0.79149,                0.81747,                 0.8618,                0.68216,                 0.7947,                 0.8067,                0.85454,                0.61636,                0.74276,                 1.6026,                0.71766,                 1.1172,               0.004159,               0.004159,               0.004159
                     61,                0.84563,                 1.8273,                 1.1389,                 1.1183,                0.78651,                0.82319,                0.86026,                  0.681,                0.78329,                0.81858,                0.85224,                0.61511,                0.74083,                 1.6024,                0.71753,                 1.1151,                0.00406,                0.00406,                0.00406
                     62,                0.84407,                 1.8347,                 1.1291,                 1.1212,                0.78959,                0.81606,                0.86159,                0.68317,                0.78689,                 0.8118,                0.85374,                0.61491,                0.73985,                 1.6006,                0.71215,                 1.1145,               0.003961,               0.003961,               0.003961
                     63,                0.84335,                 1.8341,                 1.1303,                  1.122,                0.78253,                0.82555,                0.86272,                0.68283,                0.77952,                0.81937,                0.85352,                0.61557,                0.73846,                 1.5975,                0.71025,                 1.1147,               0.003862,               0.003862,               0.003862
                     64,                0.84077,                 1.8128,                 1.1195,                 1.1168,                0.79395,                0.80727,                0.86124,                0.68091,                0.79058,                0.80341,                0.85249,                0.61415,                0.73826,                 1.5957,                0.70651,                 1.1166,               0.003763,               0.003763,               0.003763
                     65,                 0.8368,                 1.8203,                 1.1138,                 1.1157,                  0.776,                0.82483,                0.86304,                0.68264,                0.80808,                0.78478,                0.85491,                0.61527,                0.73561,                  1.592,                0.70521,                  1.112,               0.003664,               0.003664,               0.003664
                     66,                0.83489,                 1.8219,                 1.1173,                 1.1172,                0.78068,                0.82501,                0.86404,                0.68666,                0.78236,                0.81353,                0.85568,                0.61869,                0.73327,                 1.5899,                0.70138,                 1.1098,               0.003565,               0.003565,               0.003565
                     67,                0.83774,                 1.8286,                 1.1132,                 1.1159,                0.78699,                0.81856,                0.86607,                 0.6876,                0.78347,                0.81449,                0.85848,                0.62029,                0.73326,                 1.5891,                0.69961,                 1.1101,               0.003466,               0.003466,               0.003466
                     68,                0.82739,                 1.7978,                 1.1012,                  1.114,                0.79898,                0.81529,                0.86691,                0.68814,                0.79751,                0.80855,                0.85847,                0.61961,                0.73381,                 1.5893,                0.69438,                 1.1109,               0.003367,               0.003367,               0.003367
                     69,                0.82946,                 1.8152,                 1.1048,                 1.1148,                0.79331,                0.82252,                0.86626,                0.68678,                0.79296,                0.81489,                0.85878,                0.61954,                0.73111,                 1.5851,                0.69396,                 1.1075,               0.003268,               0.003268,               0.003268
                     70,                0.81812,                 1.7948,                 1.0797,                 1.1019,                0.79265,                0.82129,                0.86533,                0.68685,                0.79129,                0.81224,                0.85873,                0.62085,                0.73012,                 1.5833,                0.69417,                 1.1079,               0.003169,               0.003169,               0.003169
                     71,                0.83066,                 1.8126,                 1.1021,                 1.1143,                0.79034,                0.81764,                0.86611,                0.68829,                0.78632,                0.81379,                0.85826,                0.62207,                0.73133,                 1.5844,                 0.6919,                  1.108,                0.00307,                0.00307,                0.00307
                     72,                0.82677,                 1.7853,                 1.0951,                 1.1101,                0.79596,                0.81044,                 0.8669,                0.68957,                0.80775,                0.79521,                  0.858,                0.62296,                0.72673,                 1.5822,                0.68976,                 1.1051,               0.002971,               0.002971,               0.002971
                     73,                0.82405,                 1.7857,                 1.0783,                 1.1114,                0.78578,                0.82629,                0.86799,                0.69001,                0.78173,                0.82232,                0.85959,                0.62409,                0.72614,                 1.5812,                0.68722,                 1.1043,               0.002872,               0.002872,               0.002872
                     74,                0.81496,                 1.7865,                 1.0728,                 1.1023,                0.80676,                0.80712,                0.86856,                0.69213,                0.80386,                0.80358,                0.86049,                0.62474,                0.72417,                 1.5799,                0.68439,                 1.1034,               0.002773,               0.002773,               0.002773
