area,day,ap_tmp,sin,dif
전주,2021-11-07,17.753805249962877,-0.8028860814388828,-15.600000000000001
전주,2021-11-08,11.432141533166885,-0.7924768419510905,-11.100000000000001
전주,2021-11-09,8.318563069578824,-0.7818314824680299,-4.5
전주,2021-11-10,7.903825279427464,-0.7709531747949798,-6.1000000000000005
전주,2021-11-11,8.717783666813235,-0.7598451601445793,-5.1
전주,2021-11-12,7.515021256175663,-0.7485107481711016,-5.1
전주,2021-11-13,10.197803242182399,-0.7369533159843369,-11.100000000000001
전주,2021-11-14,12.508259562715264,-0.7251763071433767,-11.299999999999999
전주,2021-11-15,12.44053304514956,-0.7131832306305961,-9.6
전주,2021-11-16,11.104449340119306,-0.7009776598061499,-9.5
전주,2021-11-17,9.971274169466213,-0.6885632313432771,-10.7
전주,2021-11-18,12.32698545860723,-0.6759436441447546,-11.2
전주,2021-11-19,14.182172238590837,-0.6631226582407955,-10.7
전주,2021-11-20,12.744400000000002,-0.6501040936687448,-6.4
전주,2021-11-21,14.076528749931644,-0.6368918293348892,-9.1
전주,2021-11-22,6.20072024273434,-0.6234898018587337,-11.6
전주,2021-11-23,4.296698598179917,-0.6099020044000731,-4.4
전주,2021-11-24,8.091038415486743,-0.5961324854692258,-9.4
전주,2021-11-25,10.635687002476955,-0.5821853477207707,-8.6
전주,2021-11-26,7.369039510733922,-0.5680647467311567,-9.5
전주,2021-11-27,6.941799999999999,-0.5537748897605334,-9.2
전주,2021-11-28,7.990038719029712,-0.5393200344991996,-12.5
전주,2021-11-29,9.856532342397163,-0.5247044877990079,-14.3
전주,2021-11-30,8.915809806207722,-0.5099326043901368,-11.299999999999999
전주,2021-12-01,1.534543381111591,0,-5.199999999999999
전주,2021-12-02,5.402542017797243,0,-9.399999999999999
전주,2021-12-03,5.3943290360454625,0,-6.3999999999999995
전주,2021-12-04,5.211200000000002,0,-10.100000000000001
전주,2021-12-05,5.1596077786246894,0,-10.6
전주,2021-12-06,8.876000000000001,0,-11.799999999999999
전주,2021-12-07,8.003751213334013,0,-11.100000000000001
전주,2021-12-08,8.209698580842572,0,-13.299999999999999
전주,2021-12-09,9.96025120466534,0,-11.1
전주,2021-12-10,10.989988042208147,0,-5.6000000000000005
전주,2021-12-11,9.525354963190196,0,-7.5
전주,2021-12-12,5.179424562536331,0,-10.5
전주,2021-12-13,0.3611803157933738,0,-6.5
전주,2021-12-14,5.376305177039026,0,-12.9
전주,2021-12-15,10.103434827354139,0,-9.700000000000001
전주,2021-12-16,9.768025452093987,0,-6.9
전주,2021-12-17,-2.130600931241048,0,-13.0
전주,2021-12-18,-1.117949669308582,0,-11.1
전주,2021-12-19,3.6942090895717454,0,-7.3
전주,2021-12-20,8.148943234646964,0,-10.2
전주,2021-12-21,8.239914986654515,0,-9.2
전주,2021-12-22,5.466835623522643,0,-11.2
전주,2021-12-23,5.326435435722722,0,-12.5
전주,2021-12-24,3.6276138985806754,0,-11.700000000000001
전주,2021-12-25,-7.26375059538147,0,-7.5
전주,2021-12-26,-7.692933446627595,0,-7.199999999999999
전주,2021-12-27,-0.6895017581628362,0,-12.299999999999999
전주,2021-12-28,4.81156701695132,0,-5.4
전주,2021-12-29,5.072605038484257,0,-6.700000000000001
전주,2021-12-30,0.3636913310539259,0,-5.5
전주,2021-12-31,-2.8835182456426125,0,-5.7
전주,2022-01-01,-0.562270908811205,0,-11.600000000000001
전주,2022-01-02,1.5730468999731881,0,-10.8
전주,2022-01-03,0.6926196667801023,0,-9.399999999999999
전주,2022-01-04,1.7011721718362218,0,-7.7
전주,2022-01-05,2.7410194564999153,0,-7.0
전주,2022-01-06,1.984920048012506,0,-8.9
전주,2022-01-07,0.3836986155172622,0,-10.899999999999999
전주,2022-01-08,2.7115454485154746,0,-12.2
전주,2022-01-09,4.3996722819341985,0,-8.1
전주,2022-01-10,2.888995771781837,0,-10.7
전주,2022-01-11,-3.6172468887257736,0,-7.9
